,date,open,high,low,close,Adj Close,volume
0,2000-09-18,1485.25,1489.75,1462.25,1467.5,1467.5,104794
1,2000-09-19,1467.0,1482.75,1466.75,1478.5,1478.5,103371
2,2000-09-20,1478.75,1480.5,1450.25,1469.5,1469.5,109667
3,2000-09-21,1470.25,1474.0,1455.5,1469.5,1469.5,98528
4,2000-09-22,1454.75,1471.0,1436.75,1468.5,1468.5,97416
5,2000-09-25,1469.5,1477.75,1455.5,1461.0,1461.0,85491
6,2000-09-26,1461.0,1467.0,1442.5,1443.0,1443.0,99803
7,2000-09-27,1444.0,1456.0,1438.25,1446.75,1446.75,101996
8,2000-09-28,1447.75,1481.0,1445.0,1476.0,1476.0,84280
9,2000-09-29,1473.0,1473.25,1454.0,1454.0,1454.0,78277
10,2000-10-02,1453.75,1464.25,1447.5,1456.25,1456.25,84100
11,2000-10-03,1457.25,1474.0,1438.75,1441.5,1441.5,89440
12,2000-10-04,1442.0,1457.25,1432.5,1450.25,1450.25,101607
13,2000-10-05,1449.5,1462.0,1447.25,1456.0,1456.0,92232
14,2000-10-06,1456.0,1460.5,1411.5,1426.25,1426.25,95257
15,2000-10-09,1425.25,1426.75,1408.0,1416.5,1416.5,67432
16,2000-10-10,1417.5,1424.5,1390.0,1391.0,1391.0,106613
17,2000-10-11,1393.5,1398.0,1361.75,1378.5,1378.5,132059
18,2000-10-12,1379.5,1387.75,1339.0,1344.0,1344.0,110135
19,2000-10-13,1346.25,1387.75,1339.5,1386.25,1386.25,86048
20,2000-10-16,1386.0,1393.75,1378.25,1392.0,1392.0,85209
21,2000-10-17,1391.0,1395.5,1355.0,1359.75,1359.75,99618
22,2000-10-18,1362.75,1372.0,1324.0,1353.75,1353.75,112021
23,2000-10-19,1356.0,1404.0,1356.0,1401.75,1401.75,88966
24,2000-10-20,1402.0,1422.0,1394.5,1411.0,1411.0,71889
25,2000-10-23,1411.0,1419.75,1399.75,1417.0,1417.0,85786
26,2000-10-24,1415.25,1428.75,1399.0,1404.25,1404.25,99159
27,2000-10-25,1405.25,1405.5,1370.5,1374.0,1374.0,110358
28,2000-10-26,1374.75,1384.25,1348.5,1371.0,1371.0,118287
29,2000-10-27,1370.0,1402.0,1368.0,1401.0,1401.0,81305
30,2000-10-30,1398.0,1419.5,1387.0,1411.25,1411.25,101978
31,2000-10-31,1413.25,1445.5,1408.25,1440.75,1440.75,89660
32,2000-11-01,1441.0,1441.0,1419.5,1432.5,1432.5,92961
33,2000-11-02,1432.25,1444.5,1430.0,1435.0,1435.0,77315
34,2000-11-03,1434.25,1444.5,1430.5,1436.75,1436.75,66960
35,2000-11-06,1436.0,1452.5,1436.0,1445.5,1445.5,57591
36,2000-11-07,1444.5,1446.0,1432.0,1444.0,1444.0,63778
37,2000-11-08,1443.75,1455.0,1410.5,1412.0,1412.0,88328
38,2000-11-09,1413.75,1420.75,1378.5,1403.5,1403.5,110522
39,2000-11-10,1404.75,1408.0,1370.5,1372.25,1372.25,90707
40,2000-11-13,1369.0,1373.0,1335.0,1358.75,1358.75,121521
41,2000-11-14,1359.0,1399.75,1358.5,1394.0,1394.0,101344
42,2000-11-15,1394.25,1404.5,1381.5,1397.5,1397.5,89420
43,2000-11-16,1396.75,1402.75,1376.5,1379.25,1379.25,180156
44,2000-11-17,1378.75,1393.5,1360.25,1370.5,1370.5,90660
45,2000-11-20,1369.75,1373.5,1345.25,1347.75,1347.75,82907
46,2000-11-21,1348.25,1362.75,1336.5,1356.0,1356.0,82365
47,2000-11-22,1356.0,1361.0,1322.0,1323.0,1323.0,76824
48,2000-11-24,1323.25,1349.5,1320.25,1346.5,1346.5,24125
49,2000-11-27,1348.5,1367.75,1348.5,1359.0,1359.0,89335
50,2000-11-28,1358.5,1364.5,1337.5,1338.5,1338.5,89335
51,2000-11-29,1338.0,1357.5,1333.0,1335.25,1335.25,112125
52,2000-11-30,1332.75,1333.75,1296.75,1321.0,1321.0,121701
53,2000-12-01,1321.5,1338.25,1310.0,1320.75,1320.75,93584
54,2000-12-04,1323.0,1337.5,1313.25,1329.5,1329.5,92525
55,2000-12-05,1331.5,1380.25,1329.0,1374.25,1374.25,95863
56,2000-12-06,1373.0,1379.5,1339.25,1354.5,1354.5,99873
57,2000-12-07,1354.25,1362.0,1335.25,1337.0,1337.0,12054
58,2000-12-08,1332.0,1384.25,1332.0,1353.25,1353.25,6007
59,2000-12-11,1368.5,1392.0,1362.5,1383.0,1383.0,3868
60,2000-12-12,1380.5,1381.25,1355.0,1378.25,1378.25,1616
61,2000-12-13,1378.25,1387.75,1358.0,1358.0,1358.0,2668
62,2000-12-14,1358.25,1362.75,1335.25,1337.0,1337.0,1376
63,2000-12-15,1317.75,1340.75,1317.75,1332.0,1332.0,98832
64,2000-12-18,1330.0,1352.75,1329.5,1346.0,1346.0,91761
65,2000-12-19,1346.75,1366.75,1317.25,1317.75,1317.75,98115
66,2000-12-20,1318.75,1326.0,1276.0,1280.25,1280.25,107160
67,2000-12-21,1280.5,1304.25,1270.25,1288.5,1288.5,99016
68,2000-12-22,1289.75,1327.5,1289.75,1327.25,1327.25,55440
69,2000-12-26,1324.0,1338.0,1318.5,1336.5,1336.5,44482
70,2000-12-27,1337.5,1351.5,1327.5,1350.5,1350.5,65382
71,2000-12-28,1349.75,1354.25,1341.5,1353.0,1353.0,56807
72,2000-12-29,1352.75,1356.5,1326.0,1327.0,1327.0,50363
73,2001-01-02,1331.0,1336.75,1289.25,1300.0,1300.0,92668
74,2001-01-03,1301.0,1367.25,1288.75,1359.0,1359.0,130684
75,2001-01-04,1360.0,1365.5,1341.5,1349.0,1349.0,110846
76,2001-01-05,1345.75,1380.0,1303.0,1304.0,1304.0,117776
77,2001-01-08,1308.25,1312.5,1287.5,1309.5,1309.5,120010
78,2001-01-09,1312.0,1325.5,1303.75,1308.75,1308.75,115968
79,2001-01-10,1309.5,1328.75,1297.25,1327.0,1327.0,131074
80,2001-01-11,1325.75,1343.5,1319.5,1335.0,1335.0,96098
81,2001-01-12,1332.0,1344.75,1322.0,1330.0,1330.0,109664
82,2001-01-16,1328.75,1339.5,1323.5,1335.25,1335.25,103751
83,2001-01-17,1337.25,1357.75,1334.5,1341.5,1341.5,120321
84,2001-01-18,1342.5,1364.0,1337.0,1356.0,1356.0,119657
85,2001-01-19,1359.0,1371.75,1345.75,1348.5,1348.5,111098
86,2001-01-22,1346.0,1364.0,1341.25,1358.0,1358.0,111996
87,2001-01-23,1356.75,1372.75,1348.5,1366.0,1366.0,105167
88,2001-01-24,1366.25,1379.0,1365.25,1370.25,1370.25,104969
89,2001-01-25,1369.75,1378.75,1362.75,1365.0,1365.0,100601
90,2001-01-26,1364.25,1366.75,1350.25,1363.25,1363.25,128918
91,2001-01-29,1363.0,1374.0,1358.5,1370.0,1370.0,64459
92,2001-01-30,1370.25,1384.25,1363.25,1382.75,1382.75,75169
93,2001-01-31,1381.0,1394.0,1371.25,1373.5,1373.5,89199
94,2001-02-01,1373.5,1383.5,1366.25,1382.5,1382.5,101160
95,2001-02-02,1382.5,1386.0,1352.75,1353.25,1353.25,185372
96,2001-02-05,1354.25,1363.0,1351.25,1362.0,1362.0,92786
97,2001-02-06,1362.75,1370.5,1356.0,1356.25,1356.25,91631
98,2001-02-07,1355.0,1356.5,1339.5,1349.5,1349.5,105779
99,2001-02-08,1348.75,1356.5,1333.75,1335.25,1335.25,102130
100,2001-02-09,1336.25,1338.5,1318.75,1321.0,1321.0,90360
101,2001-02-12,1321.75,1338.0,1319.25,1333.75,1333.75,109773
102,2001-02-13,1334.25,1342.0,1322.25,1326.0,1326.0,115469
103,2001-02-14,1326.25,1326.75,1308.5,1319.75,1319.75,138185
104,2001-02-15,1320.0,1335.75,1318.5,1333.0,1333.0,102102
105,2001-02-16,1330.25,1330.25,1296.25,1305.0,1305.0,96917
106,2001-02-20,1304.25,1311.5,1281.75,1285.25,1285.25,111887
107,2001-02-21,1284.5,1288.5,1255.0,1256.5,1256.5,147007
108,2001-02-22,1258.0,1264.75,1230.25,1257.25,1257.25,160101
109,2001-02-23,1257.5,1261.75,1217.0,1247.5,1247.5,145235
110,2001-02-26,1251.25,1274.25,1243.75,1273.25,1273.25,121672
111,2001-02-27,1273.0,1277.0,1254.25,1264.0,1264.0,142507
112,2001-02-28,1263.75,1269.0,1230.75,1242.0,1242.0,153327
113,2001-03-01,1239.25,1244.0,1215.5,1243.5,1243.5,148305
